id,name,rating,year,overview,genre,type
68726,Pacific Rim,6.846,2013-07-11,"A ragtag band of humans band together in the year 2025 to fight legions of monstrous creatures rising from the sea. Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes -- a washed up former pilot and an untested trainee -- who now stand as earth's final hope against the mounting apocalypse.","['Action', 'Science Fiction', 'Adventure']",movie
645856,The Seventh Day,5.522,2021-03-26,"A renowned exorcist teams up with a rookie priest for his first day of training. As they plunge deeper into hell on earth, the lines between good and evil blur, and their own demons emerge.",['Horror'],movie
75612,Oblivion,6.596,2013-04-10,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.","['Action', 'Science Fiction', 'Adventure', 'Mystery']",movie
49521,Man of Steel,6.583,2013-06-12,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",movie
10921,Babylon 5: The River of Souls,6.331,1998-12-20,A group of Soul Hunters come to Babylon 5 demanding the return of something that was stolen from them.,"['Action', 'Science Fiction', 'Adventure']",movie
49026,The Dark Knight Rises,7.8,2012-07-16,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']",movie
4953,Be Kind Rewind,6.274,2008-01-20,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.","['Drama', 'Comedy']",movie
300,La Science des rêves,7.1,2006-02-11,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,"['Comedy', 'Drama', 'Fantasy']",movie
